merge clips
00:21:46.770 00:21:47.010
00:21:48.070 00:21:49.260
00:21:49.260 00:21:50.926
00:21:50.930 00:21:53.842
00:21:53.850 00:21:55.926
00:21:56.110 00:22:01.783
00:22:01.810 00:22:03.490
00:22:03.500 00:22:06.326
00:22:07.210 00:22:08.386
00:22:08.390 00:22:10.293
00:22:10.470 00:22:18.550
00:22:18.620 00:22:20.744
00:22:20.750 00:22:26.330
00:22:26.680 00:22:28.539
00:22:28.540 00:22:30.169
00:22:30.600 00:22:35.525
00:22:35.540 00:22:41.399
00:22:41.630 00:22:42.575
00:22:42.880 00:22:47.781
00:22:48.200 00:22:49.244
00:22:49.250 00:22:50.554
00:22:50.740 00:22:53.635
00:23:00.810 00:23:03.438
00:23:03.610 00:23:06.418
00:23:06.420 00:23:08.409
00:23:08.420 00:23:10.950
00:28:49.940 00:28:51.845
00:28:51.850 00:28:53.748
00:28:53.750 00:28:56.630
00:28:56.750 00:28:59.858
00:29:00.140 00:29:01.496
00:29:01.500 00:29:03.600
00:29:03.600 00:29:06.460
00:29:07.050 00:29:10.352
00:29:10.360 00:29:13.640
00:29:17.230 00:29:19.660
00:29:19.670 00:29:21.639
00:29:22.210 00:29:25.390
00:29:25.820 00:29:27.954
00:29:28.400 00:29:31.214
00:29:31.280 00:29:33.648
00:29:33.660 00:29:36.686
00:29:36.840 00:29:41.936
00:29:41.940 00:29:44.700
00:29:44.700 00:29:46.716
00:29:46.720 00:29:49.138
00:29:49.300 00:29:50.900
00:29:50.950 00:29:55.213
00:29:55.240 00:29:57.390
00:29:58.370 00:30:00.890
00:30:03.020 00:30:07.181
00:30:07.190 00:30:10.318
00:25:03.600 00:25:04.632
